City,Date,Year,Month,Season,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket,Anomaly,Anomaly_Label,Anomaly_Score,Cluster
Bangalore,2015-01-01,2015,1,Winter,171.6,117.7,123.3,12.4,61.9,49.7,1.26,79.7,164.3,339.8,Very Poor,0.0,Normal,-0.54204,0
Bangalore,2015-01-02,2015,1,Winter,22.5,317.5,163.0,62.4,130.9,46.7,0.0,59.7,49.8,267.5,Poor,0.0,Normal,-0.54136,0
Bangalore,2015-01-03,2015,1,Winter,269.3,69.9,195.5,107.3,232.0,36.4,7.44,12.8,119.4,419.3,Severe,0.0,Normal,-0.52524,1
Bangalore,2015-01-04,2015,1,Winter,56.1,295.7,121.0,146.1,53.7,39.8,6.47,59.1,109.1,245.7,Poor,0.0,Normal,-0.50179,0
Bangalore,2015-01-05,2015,1,Winter,263.8,321.1,21.4,40.5,48.0,0.6,7.3,56.2,14.2,413.8,Severe,0.0,Normal,-0.52317,0
Bangalore,2015-01-06,2015,1,Winter,432.2,500.7,162.0,80.8,6.5,6.5,0.34,90.4,113.1,118.9,Moderate,0.0,Normal,-0.55443,0
Bangalore,2015-01-07,2015,1,Winter,122.9,583.2,128.1,146.3,27.2,27.8,2.65,71.2,78.8,302.5,Very Poor,0.0,Normal,-0.52381,0
Bangalore,2015-01-08,2015,1,Winter,409.8,237.9,71.8,41.6,101.0,31.3,4.41,6.1,66.2,192.0,Moderate,0.0,Normal,-0.48212,0
Bangalore,2015-01-09,2015,1,Winter,77.8,270.7,110.0,66.6,194.6,36.5,2.06,73.2,159.6,220.7,Poor,0.0,Normal,-0.48033,1
Bangalore,2015-01-10,2015,1,Winter,449.3,460.8,0.7,2.8,51.5,36.7,8.78,26.9,76.1,443.8,Severe,0.0,Normal,-0.55605,0
Bangalore,2015-01-11,2015,1,Winter,470.4,237.2,9.3,49.5,137.8,43.0,8.68,92.9,158.0,191.5,Moderate,0.0,Normal,-0.53842,1
Bangalore,2015-01-12,2015,1,Winter,138.2,431.8,119.0,46.9,180.4,22.2,6.57,70.2,128.9,402.1,Severe,0.0,Normal,-0.45936,1
Bangalore,2015-01-13,2015,1,Winter,146.7,59.5,48.2,32.7,222.4,14.6,1.0,50.5,101.1,320.7,Very Poor,0.0,Normal,-0.5081,1
Bangalore,2015-01-14,2015,1,Winter,487.0,70.9,173.6,53.5,249.2,5.6,6.43,75.5,24.0,155.3,Moderate,0.0,Normal,-0.55535,1
Bangalore,2015-01-15,2015,1,Winter,415.9,429.8,76.9,140.1,147.9,29.8,1.46,30.9,135.4,399.7,Very Poor,0.0,Normal,-0.49693,1
Bangalore,2015-01-16,2015,1,Winter,198.2,108.9,139.3,102.7,238.4,7.9,9.48,8.2,59.1,360.2,Very Poor,0.0,Normal,-0.53549,1
Bangalore,2015-01-17,2015,1,Winter,368.9,476.1,131.9,90.5,186.7,8.4,6.73,41.4,5.3,465.7,Severe,0.0,Normal,-0.49975,1
Bangalore,2015-01-18,2015,1,Winter,14.0,456.9,88.4,112.2,166.8,16.0,8.68,11.9,27.3,438.2,Severe,0.0,Normal,-0.52548,1
Bangalore,2015-01-19,2015,1,Winter,306.8,78.0,43.2,115.6,95.1,30.5,3.47,0.8,140.9,456.8,Severe,0.0,Normal,-0.50017,0
Bangalore,2015-01-20,2015,1,Winter,465.8,185.2,172.6,75.5,71.7,2.2,6.13,49.3,127.4,156.9,Moderate,0.0,Normal,-0.49966,0
Bangalore,2015-01-21,2015,1,Winter,21.2,271.6,43.0,46.7,91.6,20.2,1.16,40.6,183.6,238.1,Poor,0.0,Normal,-0.51492,0
Bangalore,2015-01-22,2015,1,Winter,180.2,53.0,90.6,132.1,226.1,9.3,6.29,2.7,125.7,346.4,Very Poor,0.0,Normal,-0.51641,1
Bangalore,2015-01-23,2015,1,Winter,469.0,122.7,156.3,104.5,94.6,34.2,6.35,84.1,151.6,175.8,Moderate,0.0,Normal,-0.50191,0
Bangalore,2015-01-24,2015,1,Winter,172.9,579.7,80.7,21.4,93.2,6.2,6.28,50.8,159.2,340.8,Very Poor,0.0,Normal,-0.50182,0
Bangalore,2015-01-25,2015,1,Winter,219.2,22.7,7.2,121.4,75.0,31.6,6.53,95.3,58.6,376.4,Very Poor,0.0,Normal,-0.53399,0
Bangalore,2015-01-26,2015,1,Winter,274.2,119.4,78.8,34.3,35.9,19.5,0.31,79.3,20.4,424.2,Severe,0.0,Normal,-0.52123,0
Bangalore,2015-01-27,2015,1,Winter,469.0,203.6,6.7,120.8,224.1,27.3,4.59,65.7,110.2,169.2,Moderate,0.0,Normal,-0.51729,1
