PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Actual,Pred_Baseline (prior),Pred_Logistic Regression,Pred_Decision Tree,Pred_Random Forest,Pred_Hist Gradient Boosting
44.7,214.5,129.9,62.5,80.0,34.3,2.02,65.1,166.6,Moderate,Very Poor,Poor,Moderate,Moderate,Moderate
195.5,240.5,81.1,77.5,96.4,34.3,1.9,25.2,96.6,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor
354.6,582.1,72.1,120.8,238.4,47.3,2.28,76.2,185.0,Poor,Very Poor,Severe,Poor,Poor,Poor
140.4,557.5,97.0,95.5,128.4,11.0,6.29,48.2,139.6,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Very Poor
141.1,352.4,106.6,29.3,227.1,43.3,0.51,38.9,103.4,Very Poor,Very Poor,Satisfactory,Very Poor,Very Poor,Very Poor
474.1,482.7,15.1,86.1,158.4,10.9,7.88,44.0,107.0,Severe,Very Poor,Severe,Severe,Severe,Severe
481.2,443.8,158.5,149.9,218.3,8.7,6.4,11.7,169.7,Severe,Very Poor,Severe,Severe,Severe,Severe
376.4,2.7,190.7,102.5,42.7,30.2,7.82,15.4,68.8,Moderate,Very Poor,Moderate,Moderate,Moderate,Severe
17.4,327.2,166.3,104.5,241.1,29.8,0.13,81.5,22.6,Poor,Very Poor,Satisfactory,Poor,Poor,Poor
386.3,141.8,111.9,10.6,233.1,43.6,4.17,81.6,16.5,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
166.5,482.7,108.8,7.5,129.2,43.8,1.15,47.5,126.0,Severe,Very Poor,Satisfactory,Severe,Severe,Severe
320.9,257.9,80.7,107.1,144.2,27.5,4.47,20.6,80.4,Severe,Very Poor,Moderate,Severe,Severe,Severe
482.6,75.1,8.1,28.1,21.4,10.0,2.37,27.5,193.2,Poor,Very Poor,Poor,Poor,Poor,Poor
256.0,381.8,49.6,38.7,128.1,4.6,1.87,62.5,168.1,Severe,Very Poor,Poor,Severe,Severe,Severe
117.6,561.1,87.7,136.1,13.5,22.3,9.29,21.5,157.6,Poor,Very Poor,Severe,Poor,Poor,Poor
369.9,569.1,152.6,13.2,227.6,23.9,5.07,59.5,18.3,Moderate,Very Poor,Severe,Moderate,Moderate,Severe
