City,Date,Year,Season,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket,Cluster,Cluster_Description,PC1,PC2
Bangalore,2015-01-01,2015,Winter,171.6,117.7,123.3,12.4,61.9,49.7,1.26,79.7,164.3,339.8,Very Poor,0,highest average PM2.5 among clusters,0.9368250609374499,1.9254591405669996
Bangalore,2015-01-02,2015,Winter,22.5,317.5,163.0,62.4,130.9,46.7,0.0,59.7,49.8,267.5,Poor,0,highest average PM2.5 among clusters,2.2322310758651813,-0.3027343198677053
Bangalore,2015-01-03,2015,Winter,269.3,69.9,195.5,107.3,232.0,36.4,7.44,12.8,119.4,419.3,Severe,1,lowest average PM2.5 among clusters,-1.5977530629168615,-1.3804780845290576
Bangalore,2015-01-04,2015,Winter,56.1,295.7,121.0,146.1,53.7,39.8,6.47,59.1,109.1,245.7,Poor,0,highest average PM2.5 among clusters,0.5023928409743833,-0.17002017006950726
Bangalore,2015-01-05,2015,Winter,263.8,321.1,21.4,40.5,48.0,0.6,7.3,56.2,14.2,413.8,Severe,0,highest average PM2.5 among clusters,0.3121314176393037,0.4125377566920706
Bangalore,2015-01-06,2015,Winter,432.2,500.7,162.0,80.8,6.5,6.5,0.34,90.4,113.1,118.9,Moderate,0,highest average PM2.5 among clusters,1.3912088113383356,1.4340521204424774
Bangalore,2015-01-07,2015,Winter,122.9,583.2,128.1,146.3,27.2,27.8,2.65,71.2,78.8,302.5,Very Poor,0,highest average PM2.5 among clusters,1.9235469491683983,-0.125943680139428
Bangalore,2015-01-08,2015,Winter,409.8,237.9,71.8,41.6,101.0,31.3,4.41,6.1,66.2,192.0,Moderate,0,highest average PM2.5 among clusters,-0.6476476346734128,0.09544318111144207
Bangalore,2015-01-09,2015,Winter,77.8,270.7,110.0,66.6,194.6,36.5,2.06,73.2,159.6,220.7,Poor,1,lowest average PM2.5 among clusters,0.6434548100479595,-0.02731176632321955
Bangalore,2015-01-10,2015,Winter,449.3,460.8,0.7,2.8,51.5,36.7,8.78,26.9,76.1,443.8,Severe,0,highest average PM2.5 among clusters,-0.35547300631915757,1.3268657115930906
Bangalore,2015-01-11,2015,Winter,470.4,237.2,9.3,49.5,137.8,43.0,8.68,92.9,158.0,191.5,Moderate,1,lowest average PM2.5 among clusters,-1.467309613219083,2.46937908342316
Bangalore,2015-01-12,2015,Winter,138.2,431.8,119.0,46.9,180.4,22.2,6.57,70.2,128.9,402.1,Severe,1,lowest average PM2.5 among clusters,0.6566031045068408,-0.21269677941404921
Bangalore,2015-01-13,2015,Winter,146.7,59.5,48.2,32.7,222.4,14.6,1.0,50.5,101.1,320.7,Very Poor,1,lowest average PM2.5 among clusters,-0.24535633633305623,-0.43674717689940207
Bangalore,2015-01-14,2015,Winter,487.0,70.9,173.6,53.5,249.2,5.6,6.43,75.5,24.0,155.3,Moderate,1,lowest average PM2.5 among clusters,-1.1121686806902715,0.1418700812894318
Bangalore,2015-01-15,2015,Winter,415.9,429.8,76.9,140.1,147.9,29.8,1.46,30.9,135.4,399.7,Very Poor,1,lowest average PM2.5 among clusters,-0.6641077353372086,-0.3473716507906295
Bangalore,2015-01-16,2015,Winter,198.2,108.9,139.3,102.7,238.4,7.9,9.48,8.2,59.1,360.2,Very Poor,1,lowest average PM2.5 among clusters,-1.5761083146920079,-2.2688592097331486
Bangalore,2015-01-17,2015,Winter,368.9,476.1,131.9,90.5,186.7,8.4,6.73,41.4,5.3,465.7,Severe,1,lowest average PM2.5 among clusters,0.09623446391519098,-1.0656597197661366
Bangalore,2015-01-18,2015,Winter,14.0,456.9,88.4,112.2,166.8,16.0,8.68,11.9,27.3,438.2,Severe,1,lowest average PM2.5 among clusters,0.4221587834783921,-2.475047249812989
Bangalore,2015-01-19,2015,Winter,306.8,78.0,43.2,115.6,95.1,30.5,3.47,0.8,140.9,456.8,Severe,0,highest average PM2.5 among clusters,-1.6794173590851647,-0.407814632890042
Bangalore,2015-01-20,2015,Winter,465.8,185.2,172.6,75.5,71.7,2.2,6.13,49.3,127.4,156.9,Moderate,0,highest average PM2.5 among clusters,-0.9848158523706835,0.4973732614454488
Bangalore,2015-01-21,2015,Winter,21.2,271.6,43.0,46.7,91.6,20.2,1.16,40.6,183.6,238.1,Poor,0,highest average PM2.5 among clusters,0.646175053159566,-0.2286633148143882
Bangalore,2015-01-22,2015,Winter,180.2,53.0,90.6,132.1,226.1,9.3,6.29,2.7,125.7,346.4,Very Poor,1,lowest average PM2.5 among clusters,-2.05051841661823,-2.201537114407038
Bangalore,2015-01-23,2015,Winter,469.0,122.7,156.3,104.5,94.6,34.2,6.35,84.1,151.6,175.8,Moderate,0,highest average PM2.5 among clusters,-1.1845810855496433,1.6997134940110623
Bangalore,2015-01-24,2015,Winter,172.9,579.7,80.7,21.4,93.2,6.2,6.28,50.8,159.2,340.8,Very Poor,0,highest average PM2.5 among clusters,0.8982775017104232,-0.10563135239181377
Bangalore,2015-01-25,2015,Winter,219.2,22.7,7.2,121.4,75.0,31.6,6.53,95.3,58.6,376.4,Very Poor,0,highest average PM2.5 among clusters,-0.7137462344759923,1.4352712979654325
Bangalore,2015-01-26,2015,Winter,274.2,119.4,78.8,34.3,35.9,19.5,0.31,79.3,20.4,424.2,Severe,0,highest average PM2.5 among clusters,1.1060842397385715,1.4692105190417268
Bangalore,2015-01-27,2015,Winter,469.0,203.6,6.7,120.8,224.1,27.3,4.59,65.7,110.2,169.2,Moderate,1,lowest average PM2.5 among clusters,-1.9035159976241525,0.5257062217146046
Bangalore,2015-01-28,2015,Winter,447.1,152.5,38.3,131.8,91.2,12.1,8.66,30.7,172.3,209.4,Poor,0,highest average PM2.5 among clusters,-2.6603718354326724,0.23538361818428744
Bangalore,2015-01-29,2015,Winter,258.8,95.3,145.4,77.9,13.3,13.3,6.48,16.4,150.5,408.8,Severe,0,highest average PM2.5 among clusters,-0.873011243559319,-0.08396547579387692
Bangalore,2015-01-30,2015,Winter,17.6,418.7,166.1,62.8,46.6,44.5,8.19,85.4,94.4,385.8,Very Poor,0,highest average PM2.5 among clusters,1.8648037295850262,0.688672348571628
Bangalore,2015-01-31,2015,Winter,327.5,71.1,73.7,105.1,203.7,3.0,6.85,4.4,28.9,477.5,Severe,1,lowest average PM2.5 among clusters,-1.8726130474719422,-1.7070918208257138
Bangalore,2015-02-01,2015,Winter,245.6,397.9,73.9,91.1,212.8,46.1,1.84,59.0,6.3,396.6,Very Poor,1,lowest average PM2.5 among clusters,0.8797655594509322,-0.2605685371153863
Bangalore,2015-02-02,2015,Winter,265.2,8.8,63.5,97.5,21.2,15.6,1.71,41.5,85.7,415.2,Severe,0,highest average PM2.5 among clusters,-0.4806574306535759,0.5113805074248783
Bangalore,2015-02-03,2015,Winter,413.9,371.0,153.5,37.8,117.5,6.5,8.55,56.1,132.0,326.1,Very Poor,0,highest average PM2.5 among clusters,-0.49760002996932623,0.4271955948223247
