,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI
PM2.5,1.0,-0.0248,-0.0031,0.0066,0.003,0.006,0.0096,0.0091,0.0085,-0.0097
PM10,-0.0248,1.0,0.0024,0.0036,-0.0046,0.0008,-0.0074,0.0115,-0.0055,0.2296
NO,-0.0031,0.0024,1.0,-0.0034,0.0013,0.0016,-0.0061,-0.0013,-0.0137,0.0026
NO2,0.0066,0.0036,-0.0034,1.0,0.0015,-0.006,0.0098,-0.0115,0.0034,0.0099
NOx,0.003,-0.0046,0.0013,0.0015,1.0,-0.0034,-0.0008,-0.0173,0.0059,-0.0079
NH3,0.006,0.0008,0.0016,-0.006,-0.0034,1.0,-0.0039,0.0016,-0.0029,0.0005
CO,0.0096,-0.0074,-0.0061,0.0098,-0.0008,-0.0039,1.0,-0.0044,-0.0011,0.0299
SO2,0.0091,0.0115,-0.0013,-0.0115,-0.0173,0.0016,-0.0044,1.0,0.0005,0.0011
O3,0.0085,-0.0055,-0.0137,0.0034,0.0059,-0.0029,-0.0011,0.0005,1.0,0.062
AQI,-0.0097,0.2296,0.0026,0.0099,-0.0079,0.0005,0.0299,0.0011,0.062,1.0
