Variable,Count,Mean,Std,Min,Q1,Median,Q3,Max,IQR,Skewness,Kurtosis(excess),CV_%
PM2.5,18265,250.598,144.46,0.0,125.7,251.0,376.2,499.9,250.5,-0.005,-1.208,57.65
PM10,18265,299.442,173.48,0.0,150.1,300.3,450.0,600.0,299.9,0.005,-1.199,57.93
NO,18265,100.481,57.775,0.0,50.6,100.2,151.0,200.0,100.4,-0.005,-1.203,57.5
NO2,18265,75.416,43.46,0.0,37.7,76.0,113.2,150.0,75.5,-0.015,-1.213,57.63
NOx,18265,125.964,72.404,0.0,63.1,126.2,188.9,250.0,125.8,-0.012,-1.214,57.48
NH3,18265,25.065,14.452,0.0,12.6,25.3,37.6,50.0,25.0,-0.006,-1.2,57.66
CO,18265,5.002,2.889,0.0,2.49,5.0,7.51,10.0,5.02,0.004,-1.208,57.76
SO2,18265,49.836,28.989,0.0,24.4,49.9,75.1,100.0,50.7,0.005,-1.211,58.17
O3,18265,100.407,57.591,0.0,50.6,100.7,150.4,200.0,99.8,-0.002,-1.199,57.36
AQI,18265,317.505,113.895,26.9,207.1,331.6,414.0,500.0,206.9,-0.174,-1.194,35.87
