City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket,PM2.5_Outlier,PM10_Outlier,NO_Outlier,NO2_Outlier,NOx_Outlier,NH3_Outlier,CO_Outlier,SO2_Outlier,O3_Outlier,Year,Month,Month_Name,Quarter,Quarter_Label,Day,Day_of_Week,Day_Name,Week_of_Year,Is_Weekend,Year_Month,Season,PM25_PM10_Ratio,NO2_NOx_Ratio,O3_PM10_Ratio,Pollution_Index,Pollution_Index_Band,Pollutants_Above_City_Q3,City_Pollutant_Percentile,AQI_Lag_1,AQI_Change_1d,AQI_Rolling_7,AQI_RollingStd_7,AQI_Rolling_30,AQI_RollingStd_30
Bangalore,2015-01-01,171.6,117.7,123.3,12.4,61.9,49.7,1.26,79.7,164.3,339.8,Very Poor,0,0,0,0,0,0,0,0,0,2015,1,January,1,Q1,1,3,Thursday,1,0,2015-01,Winter,1.4579439252336448,0.20032310177705978,1.3959218351741718,46.94,Medium,3,47.1,,,339.8,,339.8,
Bangalore,2015-01-02,22.5,317.5,163.0,62.4,130.9,46.7,0.0,59.7,49.8,267.5,Poor,0,0,0,0,0,0,0,0,0,2015,1,January,1,Q1,2,4,Friday,1,0,2015-01,Winter,0.07086614173228346,0.4766997708174178,0.1568503937007874,45.65,Medium,2,45.7,339.8,-72.30000000000001,303.65,51.123820279787374,303.65,51.123820279787374
Bangalore,2015-01-03,269.3,69.9,195.5,107.3,232.0,36.4,7.44,12.8,119.4,419.3,Severe,0,0,0,0,0,0,0,0,0,2015,1,January,1,Q1,3,5,Saturday,1,1,2015-01,Winter,3.852646638054363,0.46249999999999997,1.7081545064377681,60.81,High,2,61.0,267.5,151.8,342.2,75.9284531648051,342.2,75.9284531648051
Bangalore,2015-01-04,56.1,295.7,121.0,146.1,53.7,39.8,6.47,59.1,109.1,245.7,Poor,0,0,0,0,0,0,0,0,0,2015,1,January,1,Q1,4,6,Sunday,1,1,2015-01,Winter,0.1897193101115996,2.7206703910614523,0.36895502198173824,55.32,Medium,2,55.2,419.3,-173.60000000000002,318.075,78.55878372276395,318.075,78.55878372276395
Bangalore,2015-01-05,263.8,321.1,21.4,40.5,48.0,0.6,7.3,56.2,14.2,413.8,Severe,0,0,0,0,0,0,0,0,0,2015,1,January,1,Q1,5,0,Monday,2,0,2015-01,Winter,0.8215509187169105,0.84375,0.044222983494238546,33.41,Low,0,33.4,245.7,168.10000000000002,337.21999999999997,80.38200669304047,337.21999999999997,80.38200669304047
Bangalore,2015-01-06,432.2,500.7,162.0,80.8,6.5,6.5,0.34,90.4,113.1,118.9,Moderate,0,0,0,0,0,0,0,0,0,2015,1,January,1,Q1,6,1,Tuesday,2,0,2015-01,Winter,0.8631915318554024,12.430769230769231,0.22588376273217495,52.3,Medium,4,52.1,413.8,-294.9,300.8333333333333,114.51179269693871,300.8333333333333,114.51179269693871
Bangalore,2015-01-07,122.9,583.2,128.1,146.3,27.2,27.8,2.65,71.2,78.8,302.5,Very Poor,0,0,0,0,0,0,0,0,0,2015,1,January,1,Q1,7,2,Wednesday,2,0,2015-01,Winter,0.21073388203017832,5.3786764705882355,0.13511659807956103,54.11,Medium,2,54.3,118.9,183.6,301.07142857142856,104.53638464327008,301.07142857142856,104.53638464327008
Bangalore,2015-01-08,409.8,237.9,71.8,41.6,101.0,31.3,4.41,6.1,66.2,192.0,Moderate,0,0,0,0,0,0,0,0,0,2015,1,January,1,Q1,8,3,Thursday,2,0,2015-01,Winter,1.7225725094577553,0.4118811881188119,0.27826817990752417,41.28,Medium,1,41.6,302.5,-110.5,279.95714285714286,110.18402571974543,287.4375,104.18159883450764
Bangalore,2015-01-09,77.8,270.7,110.0,66.6,194.6,36.5,2.06,73.2,159.6,220.7,Poor,0,0,0,0,0,0,0,0,0,2015,1,January,1,Q1,9,4,Friday,2,0,2015-01,Winter,0.28740302918359806,0.34224049331962997,0.5895825637236793,53.84,Medium,2,53.9,192.0,28.69999999999999,273.2714285714286,112.46218200334005,280.0222222222222,99.9597766326258
Bangalore,2015-01-10,449.3,460.8,0.7,2.8,51.5,36.7,8.78,26.9,76.1,443.8,Severe,0,0,0,0,0,0,0,0,0,2015,1,January,1,Q1,10,5,Saturday,2,1,2015-01,Winter,0.9750434027777778,0.05436893203883495,0.16514756944444442,46.18,Medium,3,46.5,220.7,223.10000000000002,276.77142857142854,118.00872445552086,296.4,107.53629878118157
