Year,Month,Month_Name,Avg_PM2.5,Avg_PM10,Avg_NO,Avg_NO2,Avg_NOx,Avg_NH3,Avg_CO,Avg_SO2,Avg_O3,Avg_AQI,Observation_Count,Season,Dominant_AQI_Category,Year_Month
2015,1,January,254.808,313.288,101.1,78.118,125.743,26.719,4.9,48.154,98.605,322.211,155,Winter,Very Poor,2015-01
2015,2,February,258.606,297.671,104.44,72.503,126.939,24.109,4.578,45.055,91.655,309.079,140,Winter,Very Poor,2015-02
2015,3,March,269.475,307.256,91.417,80.788,128.31,25.488,5.23,51.278,100.834,309.845,155,Winter,Very Poor,2015-03
2015,4,April,255.457,317.436,99.509,74.691,137.207,25.262,5.332,51.145,98.412,331.312,150,Summer,Very Poor,2015-04
2015,5,May,245.086,312.206,96.274,73.639,121.759,24.906,4.734,44.699,105.061,307.726,155,Summer,Severe,2015-05
2015,6,June,238.111,286.208,98.397,76.677,131.802,26.833,5.173,47.437,101.796,326.745,150,Summer,Very Poor,2015-06
2015,7,July,244.311,291.237,103.315,74.557,126.774,28.014,5.136,53.856,97.075,315.823,155,Monsoon,Severe,2015-07
2015,8,August,255.023,312.674,94.77,78.755,119.245,27.998,4.826,49.09,90.095,303.128,155,Monsoon,Moderate,2015-08
2015,9,September,245.859,311.813,106.964,71.17,119.533,27.829,5.112,52.219,101.088,319.658,150,Monsoon,Very Poor,2015-09
2015,10,October,249.726,305.412,100.647,74.817,130.223,25.434,4.907,50.477,103.127,314.733,155,Post-Monsoon,Very Poor,2015-10
2015,11,November,234.329,294.173,95.918,73.575,128.069,24.057,4.869,50.199,97.572,307.679,150,Post-Monsoon,Very Poor,2015-11
2015,12,December,263.622,301.763,97.647,78.595,129.184,22.35,5.165,49.799,104.71,317.807,155,Post-Monsoon,Severe,2015-12
2016,1,January,221.248,309.603,103.53,74.156,132.657,25.028,4.944,48.319,108.291,317.43,155,Winter,Very Poor,2016-01
2016,2,February,262.292,272.325,99.779,72.501,122.781,23.818,5.199,52.04,97.178,297.572,145,Winter,Very Poor,2016-02
2016,3,March,226.61,313.266,90.539,70.751,119.135,24.076,5.118,53.554,100.994,321.797,155,Winter,Very Poor,2016-03
2016,4,April,258.297,293.096,96.414,73.535,137.65,26.755,4.874,51.401,107.224,335.519,150,Summer,Severe,2016-04
2016,5,May,244.87,304.403,105.965,69.402,124.092,24.707,5.187,49.174,105.075,312.202,155,Summer,Very Poor,2016-05
2016,6,June,254.623,317.034,109.497,82.51,120.903,25.034,5.502,51.402,100.128,316.535,150,Summer,Very Poor,2016-06
2016,7,July,241.099,280.574,94.39,72.658,122.579,25.374,4.77,48.774,95.773,328.212,155,Monsoon,Severe,2016-07
2016,8,August,247.909,303.103,101.968,72.315,127.907,25.118,5.2,47.945,99.726,314.278,155,Monsoon,Very Poor,2016-08
2016,9,September,250.551,290.06,98.472,81.898,122.17,24.696,5.136,49.593,98.878,313.807,150,Monsoon,Very Poor,2016-09
2016,10,October,240.991,322.218,98.966,72.948,126.712,24.184,4.922,45.48,96.003,329.677,155,Post-Monsoon,Severe,2016-10
2016,11,November,231.951,297.655,102.041,68.474,121.827,24.682,5.116,50.375,98.361,313.967,150,Post-Monsoon,Very Poor,2016-11
2016,12,December,257.755,307.826,100.939,76.663,123.776,25.308,5.101,49.768,97.057,309.397,155,Post-Monsoon,Very Poor,2016-12
2017,1,January,255.776,308.365,93.096,79.224,124.254,26.912,5.095,52.898,95.829,311.218,155,Winter,Severe,2017-01
2017,2,February,234.547,285.936,107.032,79.884,115.255,24.424,5.08,49.09,101.872,301.874,140,Winter,Moderate,2017-02
2017,3,March,249.255,293.07,97.345,73.71,129.972,25.666,5.22,52.723,106.675,318.745,155,Winter,Very Poor,2017-03
2017,4,April,241.845,299.624,98.419,72.722,129.615,25.679,5.281,49.134,99.529,327.957,150,Summer,Very Poor,2017-04
2017,5,May,260.101,306.541,96.483,78.205,133.408,25.37,4.838,47.372,106.372,329.641,155,Summer,Very Poor,2017-05
2017,6,June,256.237,327.65,95.317,77.444,133.797,24.129,4.936,49.577,107.935,310.798,150,Summer,Very Poor,2017-06
2017,7,July,237.803,305.781,98.597,74.752,133.728,25.843,5.246,51.085,94.9,332.103,155,Monsoon,Severe,2017-07
2017,8,August,255.155,271.299,99.713,70.543,118.688,25.173,4.953,49.392,98.719,312.448,155,Monsoon,Severe,2017-08
2017,9,September,258.283,293.895,100.077,77.438,131.711,24.453,4.885,52.655,96.237,324.283,150,Monsoon,Severe,2017-09
2017,10,October,264.642,276.569,101.188,73.645,122.803,25.357,5.387,50.36,101.839,326.514,155,Post-Monsoon,Very Poor,2017-10
2017,11,November,240.971,329.633,97.095,69.373,118.112,25.442,5.148,46.283,99.102,340.263,150,Post-Monsoon,Severe,2017-11
2017,12,December,259.585,321.961,109.243,74.489,127.297,25.269,5.289,48.099,100.201,319.737,155,Post-Monsoon,Severe,2017-12
2018,1,January,235.516,316.29,100.812,74.11,129.883,25.721,5.043,50.39,103.034,334.488,155,Winter,Very Poor,2018-01
