Column,Dtype,NonNull,Missing,Missing_Pct,Unique,Min,Max,Mean,Median,Negative_Values
City,str,18265,0,0.0,5,,,,,0
Datetime,str,18265,0,0.0,3653,2015-01-01,2024-12-31,,,0
PM2.5,float64,18265,0,0.0,4876,0.0,499.9,250.598,251.0,0
PM10,float64,18265,0,0.0,5709,0.0,600.0,299.442,300.3,0
NO,float64,18265,0,0.0,2000,0.0,200.0,100.481,100.2,0
NO2,float64,18265,0,0.0,1501,0.0,150.0,75.416,76.0,0
NOx,float64,18265,0,0.0,2498,0.0,250.0,125.964,126.2,0
NH3,float64,18265,0,0.0,501,0.0,50.0,25.065,25.3,0
CO,float64,18265,0,0.0,1001,0.0,10.0,5.002,5.0,0
SO2,float64,18265,0,0.0,1001,0.0,100.0,49.836,49.9,0
O3,float64,18265,0,0.0,2001,0.0,200.0,100.407,100.7,0
AQI,float64,18265,0,0.0,3848,26.9,500.0,317.505,331.6,0
AQI_Bucket,str,18265,0,0.0,6,,,,,0
