Year,Avg_PM2.5,Avg_PM10,Avg_NO,Avg_NO2,Avg_NOx,Avg_NH3,Avg_CO,Avg_SO2,Avg_O3,Avg_AQI,Observation_Count
2015,251.225,304.336,99.146,75.701,127.044,25.761,4.999,49.478,99.225,315.467,1825
2016,244.711,301.103,100.195,73.964,125.191,24.9,5.088,49.797,100.4,317.615,1830
2017,251.34,301.703,99.424,75.089,126.627,25.321,5.114,49.901,100.759,321.408,1825
2018,249.378,300.928,100.132,75.175,126.074,25.111,4.99,50.33,100.035,317.593,1825
2019,251.333,297.704,103.053,74.532,126.669,25.223,5.035,49.039,100.427,317.111,1825
2020,256.702,294.769,101.912,75.312,126.543,24.534,4.786,49.035,99.589,315.799,1830
2021,252.243,296.64,99.709,76.028,122.281,25.186,5.14,49.81,101.081,316.273,1825
2022,255.378,299.108,100.25,76.114,127.146,25.397,4.981,49.983,102.324,316.913,1825
2023,248.705,302.532,99.81,75.639,126.67,24.419,4.924,50.672,100.144,317.955,1825
2024,244.976,295.623,101.175,76.606,125.398,24.801,4.969,50.314,100.086,318.918,1830
